 distance[ft], uprime[ft/s], vprime[ft/s], wprime[ft/s]
   1520.0000000000000      ,  -3.3877273789556774      ,   6.9672658498576068      ,   7.2097155133468638     
   1540.0000000000000      ,  -3.8593818577370307      ,   7.7583716001258658      ,   8.6776160688886765     
   1560.0000000000000      ,  -3.5011680189710455      ,   7.1030397317174421      ,   7.9285298981229300     
   1580.0000000000000      ,  -3.0649137248933034      ,   7.4030366725731271      ,   6.8149091300450246     
   1600.0000000000000      ,  -2.4751918310519554      ,   6.9013152710970918      ,   6.8113824679776673     
   1620.0000000000000      ,  -3.1783073767966998      ,   7.4744946280532405      ,   7.3677653047655447     
   1640.0000000000000      ,  -3.4235624924981893      ,   6.6998204935376506      ,   7.2639231231202510     
   1660.0000000000000      ,  -2.9378998080544982      ,   6.1486138154372538      ,   7.1339516714380311     
   1680.0000000000000      ,  -2.1211837352639389      ,   6.1140339421016492      ,   6.4118789551698638     
   1700.0000000000000      ,  -1.2088921869049039      ,   5.3869314040915741      ,   6.4437906139797567     
   1720.0000000000000      ,  -1.0423448691368846      ,   4.3318884608533494      ,   6.3181191818809976     
   1740.0000000000000      ,  -2.5293464080921395      ,   2.7465350620770566      ,   5.7285783845358074     
   1760.0000000000000      ,  -2.1869248893114395      ,   2.8836601876553392      ,   4.3493535003164112     
   1780.0000000000000      ,  -2.5552954538178834      ,   4.5813737113999506      ,   3.8964350593345092     
   1800.0000000000000      ,  -2.3302263757719919      ,   5.2654376435308405      ,   3.8460746885304689     
   1820.0000000000000      ,  -2.1946466120885875      ,   4.7633140050081417      ,   4.0092062376438156     
   1840.0000000000000      ,  -1.7253107329456809      ,   2.7222614965796366      ,   3.4858378241300945     
   1860.0000000000000      , -0.84840235502874040      ,   4.7671257551420920      ,   4.4857012324007579     
   1880.0000000000000      ,  -1.1191483931159585      ,   6.4536247124101207      ,   5.6190388257317734     
   1900.0000000000000      ,  0.13534413169450579      ,   8.1211627950481287      ,   5.9709798990931224     
   1920.0000000000000      ,  0.59825872756114229      ,   6.5753165708377121      ,   5.4292510837052452     
   1940.0000000000000      ,  0.81985673425412242      ,   6.2562602433222150      ,   2.8001883843179693     
   1960.0000000000000      ,   1.0694630179704889      ,   5.2204586642377873      ,   3.0787629843288800     
   1980.0000000000000      ,   2.2211531440493859      ,   5.4734770809779834      ,   1.7057840966022750     
   2000.0000000000000      ,   2.6532590635423827      ,   5.9133316550528843      ,   1.0153534748467163     
   2020.0000000000000      ,   4.2317765560586400      ,   6.0736430148897167      ,  0.23516151783810688     
   2040.0000000000000      ,   3.3267275308413597      ,   4.2685105628329545      ,  0.43811678150888522     
   2060.0000000000000      ,   4.1252833821709585      ,   4.5770423697742704      ,   1.3846909785602477     
   2080.0000000000000      ,   4.8026798017501289      ,   3.7341613417251898      ,   1.3159664644702642     
   2100.0000000000000      ,   4.2319570854028425      ,   4.7477496603976554      ,  0.21278841161546794     
   2120.0000000000000      ,   3.5872528148549949      ,   4.0036364508441009      , -0.27181257936809522     
