     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  , ground_track[deg]  , heading[deg]       , wind_direction[deg]
                F16,  6.139999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -4.678145105918E-05,  3.246084452562E+01,  1.013350575339E-08,  7.156090399479E-14, -1.492395109691E-08,  5.703710087318E+04,  2.231232021652E+05, -9.932452226425E+02,  7.412283414712E-01, -2.178707663024E-02,  2.408614461801E-02,  6.704667976337E-01,  1.009452442237E-06, -7.624789448745E+00, -1.541080218149E-05,  8.887557524912E-02, -1.930618777189E-08, -5.751410181943E-12,  2.947275125825E-07,  2.262322974337E-14,  1.008000705778E-06, -7.624789448746E+00, -1.538864003687E-05,  8.887557524916E-02,  9.000004569518E+01,  8.426087062538E+01,  4.500000000000E+01 
                F16,  6.149999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -4.589234004679E-05,  3.246084452565E+01,  9.941224429682E-09,  7.031133411193E-14, -1.464072363896E-08,  5.703710051968E+04,  2.235706959193E+05, -9.932452226426E+02,  7.412283465360E-01, -2.178707308841E-02,  2.408614782176E-02,  6.704667920344E-01,  9.902662076132E-07, -7.624789448751E+00, -1.511790632318E-05,  8.887557524915E-02, -1.893925812932E-08, -5.619230746005E-12,  2.891260057726E-07,  3.406022021917E-14,  9.888420666631E-07, -7.624789448751E+00, -1.509616538596E-05,  8.887557524919E-02,  9.000004482736E+01,  8.426086984477E+01,  4.500000000000E+01 
                F16,  6.159999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -4.502012674617E-05,  3.246084452568E+01,  9.752584596535E-09,  6.928154741855E-14, -1.436286198324E-08,  5.703710017291E+04,  2.240181896727E+05, -9.932452226427E+02,  7.412283515046E-01, -2.178706961378E-02,  2.408615096473E-02,  6.704667865414E-01,  9.714446624127E-07, -7.624789448756E+00, -1.483057716032E-05,  8.887557524917E-02, -1.857922095560E-08, -5.474495680316E-12,  2.836309583077E-07,  1.428364739329E-14,  9.700475941607E-07, -7.624789448757E+00, -1.480924942524E-05,  8.887557524918E-02,  9.000004397600E+01,  8.426086907898E+01,  4.500000000000E+01 
                F16,  6.169999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -4.416449002979E-05,  3.246084452572E+01,  9.567518284711E-09,  6.767781709708E-14, -1.409026488780E-08,  5.703709983272E+04,  2.244656834254E+05, -9.932452226428E+02,  7.412283563789E-01, -2.178706620509E-02,  2.408615404805E-02,  6.704667811527E-01,  9.529808521057E-07, -7.624789448762E+00, -1.454870889630E-05,  8.887557524918E-02, -1.822611670235E-08, -5.410511633486E-12,  2.782403468105E-07,  1.231587784554E-15,  9.516103309874E-07, -7.624789448762E+00, -1.452778651022E-05,  8.887557524918E-02,  9.000004314080E+01,  8.426086832772E+01,  4.500000000000E+01 
                F16,  6.179999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -4.332511487580E-05,  3.246084452575E+01,  9.385955711923E-09,  6.618898164798E-14, -1.382283305236E-08,  5.703709949899E+04,  2.249131771775E+05, -9.932452226429E+02,  7.412283611606E-01, -2.178706286108E-02,  2.408615707287E-02,  6.704667758662E-01,  9.348679927239E-07, -7.624789448767E+00, -1.427219774368E-05,  8.887557524918E-02, -1.787973695117E-08, -5.311634688798E-12,  2.729521842582E-07, -5.398135822180E-17,  9.335235217917E-07, -7.624789448768E+00, -1.425167300296E-05,  8.887557524919E-02,  9.000004232145E+01,  8.426086759071E+01,  4.500000000000E+01 
                F16,  6.189999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -4.250169223961E-05,  3.246084452578E+01,  9.207833306644E-09,  6.458012824219E-14, -1.356046886562E-08,  5.703709917159E+04,  2.253606709290E+05, -9.932452226429E+02,  7.412283658517E-01, -2.178705958053E-02,  2.408616004028E-02,  6.704667706801E-01,  9.170994081665E-07, -7.624789448772E+00, -1.400094188948E-05,  8.887557524919E-02, -1.753987087605E-08, -5.140325762241E-12,  2.677645276879E-07,  2.783464735650E-14,  9.157804892223E-07, -7.624789448773E+00, -1.398080723653E-05,  8.887557524924E-02,  9.000004151764E+01,  8.426086686770E+01,  4.500000000000E+01 
                F16,  6.199999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -4.169391895999E-05,  3.246084452581E+01,  9.033086154697E-09,  6.340669424979E-14, -1.330307664468E-08,  5.703709885042E+04,  2.258081646798E+05, -9.932452226430E+02,  7.412283704537E-01, -2.178705636224E-02,  2.408616295138E-02,  6.704667655924E-01,  8.996685349259E-07, -7.624789448778E+00, -1.373484145420E-05,  8.887557524923E-02, -1.720644062167E-08, -5.139859376680E-12,  2.626754609294E-07,  2.796394912715E-14,  8.983746872679E-07, -7.624789448778E+00, -1.371508947552E-05,  8.887557524925E-02,  9.000004072909E+01,  8.426086615840E+01,  4.500000000000E+01 
                F16,  6.209999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -4.090149762788E-05,  3.246084452584E+01,  8.861648411099E-09,  6.249341971072E-14, -1.305056252573E-08,  5.703709853535E+04,  2.262556584300E+05, -9.932452226431E+02,  7.412283749683E-01, -2.178705320502E-02,  2.408616580723E-02,  6.704667606013E-01,  8.825689938914E-07, -7.624789448783E+00, -1.347379845678E-05,  8.887557524924E-02, -1.687943540499E-08, -4.993163848544E-12,  2.576831167534E-07,  9.831099690507E-15,  8.812997404971E-07, -7.624789448783E+00, -1.345442187926E-05,  8.887557524925E-02,  9.000003995551E+01,  8.426086546256E+01,  4.500000000000E+01 
                F16,  6.219999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -4.012413648844E-05,  3.246084452587E+01,  8.693459514056E-09,  6.129232891127E-14, -1.280283436338E-08,  5.703709822626E+04,  2.267031521797E+05, -9.932452226432E+02,  7.412283793972E-01, -2.178705010773E-02,  2.408616860888E-02,  6.704667557049E-01,  8.657944502081E-07, -7.624789448788E+00, -1.321771677888E-05,  8.887557524925E-02, -1.655862117858E-08, -4.842752539290E-12,  2.527856539863E-07, -5.237055922403E-16,  8.645493184488E-07, -7.624789448788E+00, -1.319870846791E-05,  8.887557524924E-02,  9.000003919660E+01,  8.426086477993E+01,  4.500000000000E+01 
                F16,  6.229999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.936154933333E-05,  3.246084452590E+01,  8.528457452237E-09,  5.970345562262E-14, -1.255980170179E-08,  5.703709792304E+04,  2.271506459287E+05, -9.932452226432E+02,  7.412283837421E-01, -2.178704706922E-02,  2.408617135736E-02,  6.704667509015E-01,  8.493387527915E-07, -7.624789448792E+00, -1.296650212799E-05,  8.887557524924E-02, -1.624386417713E-08, -4.824993659803E-12,  2.479812700746E-07,  1.258721426524E-15,  8.481172918778E-07, -7.624789448793E+00, -1.294785508446E-05,  8.887557524926E-02,  9.000003845210E+01,  8.426086411026E+01,  4.500000000000E+01 
