     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  , ground_track[deg]  , heading[deg]       , wind_direction[deg]
                F16,  2.000000000000E+00,  1.000000000000E-02,  4.967098543647E+02,  6.818666161342E-02,  5.502045995456E+00,  6.377040152210E-04,  4.815200037691E-03,  2.694557639990E-03,  9.929977485813E+02, -1.003055787344E+02, -9.348855808244E+02,  9.975742251859E-01,  1.084124968782E-02, -6.876014822585E-02,  4.178109078591E-04, -1.812782104853E-02, -6.805619293072E+00,  2.202078843494E-02,  3.476361893190E-02,  6.309633528609E-02, -1.683609392876E+00,  3.512487576752E-02, -8.021290551371E-04, -1.297007923902E-02, -6.932955372352E+00,  2.340450770823E-02,  3.975257768119E-02,  3.541448852017E+02,  3.599559555509E+02,  9.000000000000E+01 
                F16,  2.100000000000E+00,  1.000000000000E-02,  4.968220263187E+02,  8.874072533562E-03,  8.429190856637E+00,  1.311014013382E-03,  1.108296744615E-02,  2.517281052495E-03,  1.042111431784E+03, -1.053426677028E+02, -9.273971254676E+02,  9.976009381702E-01,  1.088186667613E-02, -6.836405363587E-02,  5.561564638457E-04, -1.126357045637E-02, -6.975456324219E+00,  2.341203436824E-02,  3.474305400025E-02,  7.162684017975E-02, -1.699409618808E+00, -6.212015152062E-03,  3.038601150509E-04, -5.822336141288E-03, -7.103586245683E+00,  2.186562042100E-02,  3.885789201124E-02,  3.541438910651E+02,  3.599576801137E+02,  9.000000000000E+01 
                F16,  2.200000000000E+00,  1.000000000000E-02,  4.969545133470E+02, -3.578339423102E-02,  1.134871019050E+01,  1.669381910379E-03,  1.714529146741E-02,  2.222599953124E-03,  1.091205833863E+03, -1.103778331212E+02, -9.196715660554E+02,  9.976480822321E-01,  1.094905561123E-02, -6.766054536980E-02,  6.876045754725E-04, -4.149177836328E-03, -7.146243051752E+00,  2.105001631951E-02,  3.480752585921E-02,  6.843387471511E-02, -1.703191154837E+00, -3.891492129802E-02,  9.054174345020E-04,  7.474597955270E-04, -7.274365298776E+00,  1.736166019829E-02,  3.755517241166E-02,  3.541447489438E+02,  3.599604008445E+02,  9.000000000000E+01 
                F16,  2.300000000000E+00,  1.000000000000E-02,  4.971024252869E+02, -6.218241989497E-02,  1.425407216153E+01,  1.698617539113E-03,  2.305482224548E-02,  1.873470370664E-03,  1.140288277969E+03, -1.154102565184E+02, -9.117394780826E+02,  9.977145988383E-01,  1.102673459971E-02, -6.665838046373E-02,  8.066616470526E-04,  2.156366235141E-03, -7.316941277800E+00,  1.600393712434E-02,  3.490872906101E-02,  5.607802169084E-02, -1.698147365230E+00, -5.940780159879E-02,  1.046587984363E-03,  5.912856007854E-03, -7.444471270440E+00,  1.115204850521E-02,  3.588987707258E-02,  3.541473777747E+02,  3.599640499165E+02,  9.000000000000E+01 
                F16,  2.400000000000E+00,  1.000000000000E-02,  4.972608060296E+02, -7.015244234751E-02,  1.714101531768E+01,  1.440969076559E-03,  2.884473370586E-02,  1.529051782170E-03,  1.189365915202E+03, -1.204391789910E+02, -9.036312615805E+02,  9.977993246929E-01,  1.109936445299E-02, -6.536422410401E-02,  9.110205681288E-04,  6.909224594327E-03, -7.486793997811E+00,  9.564638021797E-03,  3.500311191131E-02,  3.814385532874E-02, -1.686713074242E+00, -6.681110691217E-02,  7.779872343623E-04,  9.216550961457E-03, -7.613310463041E+00,  4.519970194438E-03,  3.390992167684E-02,  3.541516830781E+02,  3.599685559389E+02,  9.000000000000E+01 
                F16,  2.500000000000E+00,  1.000000000000E-02,  4.974246421207E+02, -6.232795373779E-02,  2.000665093847E+01,  9.776359704735E-04,  3.453439104525E-02,  1.236386691200E-03,  1.238445650204E+03, -1.254638998689E+02, -8.953771433619E+02,  9.979009200211E-01,  1.115438530267E-02, -6.378346882480E-02,  1.001306266959E-03,  9.743304707984E-03, -7.655255639081E+00,  2.989488759938E-03,  3.505241730860E-02,  1.845009712886E-02, -1.670692939133E+00, -6.256545088589E-02,  1.545538555586E-04,  1.057493726839E-02, -7.780457032886E+00, -1.442409371803E-03,  3.166527226580E-02,  3.541575658918E+02,  3.599738522037E+02,  9.000000000000E+01 
                F16,  2.600000000000E+00,  1.000000000000E-02,  4.975888839884E+02, -4.318717794712E-02,  2.284885796962E+01,  4.081063952595E-04,  4.013363597631E-02,  1.025579597155E-03,  1.287534072218E+03, -1.304837694497E+02, -8.870071816118E+02,  9.980178212648E-01,  1.118370773047E-02, -6.192080279752E-02,  1.080416653808E-03,  1.065801695422E-02, -7.821935460638E+00, -2.696634395374E-03,  3.502402074835E-02,  3.683830337357E-04, -1.651391401931E+00, -4.972283073802E-02, -7.662709784456E-04,  1.021959065293E-02, -7.945605880747E+00, -5.973117955472E-03,  2.920760450423E-02,  3.541649292467E+02,  3.599798825652E+02,  9.000000000000E+01 
                F16,  2.700000000000E+00,  1.000000000000E-02,  4.977484750033E+02, -1.798348557803E-02,  2.566588795678E+01, -1.695891360049E-04,  4.564594133614E-02,  9.085889217902E-04,  1.336637390597E+03, -1.354981779442E+02, -8.785512690005E+02,  9.981482184902E-01,  1.118418899817E-02, -5.978059273319E-02,  1.152637700743E-03,  9.947613424839E-03, -7.986553309929E+00, -6.820722252136E-03,  3.489110480900E-02, -1.364915982013E-02, -1.629727495475E+00, -3.210050350781E-02, -1.926004073617E-03,  8.598030170874E-03, -8.108536489557E+00, -8.695136585149E-03,  2.658999034029E-02,  3.541736820286E+02,  3.599866047362E+02,  9.000000000000E+01 
                F16,  2.800000000000E+00,  1.000000000000E-02,  4.978983844183E+02,  8.230481861952E-03,  2.845611811795E+01, -6.745321249860E-04,  5.107067735287E-02,  8.811151623480E-04,  1.385761374266E+03, -1.405065427993E+02, -8.700391320577E+02,  9.982900548267E-01,  1.115721005375E-02, -5.736713399150E-02,  1.222716446091E-03,  8.095666473618E-03, -8.148905890033E+00, -9.096932795261E-03,  3.463270299412E-02, -2.229130394605E-02, -1.606329478223E+00, -1.347776434176E-02, -3.266282376924E-03,  6.258824840378E-03, -8.269085732588E+00, -9.594904077465E-03,  2.386659081444E-02,  3.541837403874E+02,  3.599939911197E+02,  9.000000000000E+01 
                F16,  2.900000000000E+00,  1.000000000000E-02,  4.980336415029E+02,  3.134251138916E-02,  3.121790709644E+01, -1.052621913812E-03,  5.640469469619E-02,  9.266515695902E-04,  1.434911294962E+03, -1.455082963386E+02, -8.615003255940E+02,  9.984410427279E-01,  1.110759948890E-02, -5.468480849597E-02,  1.295048212716E-03,  5.659686394332E-03, -8.308841542111E+00, -9.589380437611E-03,  3.423363996418E-02, -2.536980198283E-02, -1.581610476574E+00,  3.029601087350E-03, -4.729781449504E-03,  3.743783527180E-03, -8.427127847614E+00, -8.944634065019E-03,  2.109234509734E-02,  3.541950270972E+02,  2.027562017136E-03,  9.000000000000E+01 
