     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  , ground_speed[ft/s] , ground_track[deg]  , heading[deg]       , wind_direction[deg]
                F16,  3.242000000024E+03,  1.000000000000E-02,  4.513560648515E+02, -1.190589289072E-06,  3.574499358853E+01,  1.948354529875E-10,  8.496774201972E-12, -5.219302051522E-10, -2.383552733323E+05,  1.563183788900E+05, -9.792496444065E+02, -7.445463772636E-01, -2.634644646373E-02, -2.943597381927E-02,  6.664008405665E-01,  2.885072425954E-08, -7.934116415587E+00, -4.314124403290E-07,  7.612870425492E-02, -6.016732328521E-10, -1.832454767335E-10,  8.965409677454E-09, -2.936453878315E-12,  2.880548328202E-08, -7.934116415601E+00, -4.307383222508E-07,  7.612870425106E-02,  5.000000000018E+02,  2.700000021122E+02,  2.763401940642E+02,  4.500000000000E+01 
                F16,  3.244000000024E+03,  1.000000000000E-02,  4.513560648027E+02, -1.142368218919E-06,  3.574499359224E+01,  1.930150094365E-10,  8.410526464558E-12, -5.157242243276E-10, -2.383552732959E+05,  1.553183788900E+05, -9.792496444069E+02, -7.445463769125E-01, -2.634644659849E-02, -2.943597371000E-02,  6.664008409583E-01,  2.766811113502E-08, -7.934116415953E+00, -4.137890027488E-07,  7.612870424938E-02, -5.771550158467E-10, -1.815253824029E-10,  8.601676526093E-09, -2.606424186926E-12,  2.762471302012E-08, -7.934116415967E+00, -4.131422342356E-07,  7.612870424596E-02,  5.000000000017E+02,  2.700000020622E+02,  2.763401940092E+02,  4.500000000000E+01 
                F16,  3.246000000024E+03,  1.000000000000E-02,  4.513560647543E+02, -1.096085809374E-06,  3.574499359590E+01,  1.910027553714E-10,  8.316449520932E-12, -5.091148387735E-10, -2.383552732603E+05,  1.543183788900E+05, -9.792496444076E+02, -7.445463765657E-01, -2.634644673195E-02, -2.943597360176E-02,  6.664008413452E-01,  2.653365631392E-08, -7.934116416316E+00, -3.968806680255E-07,  7.612870424448E-02, -5.536555124274E-10, -1.796713714841E-10,  8.252594628823E-09, -2.300052756992E-12,  2.649202578534E-08, -7.934116416329E+00, -3.962601474903E-07,  7.612870424147E-02,  5.000000000015E+02,  2.700000020126E+02,  2.763401939548E+02,  4.500000000000E+01 
                F16,  3.248000000024E+03,  1.000000000000E-02,  4.513560647064E+02, -1.051664749829E-06,  3.574499359953E+01,  1.888168672329E-10,  8.215384448001E-12, -5.021469844769E-10, -2.383552732256E+05,  1.533183788900E+05, -9.792496444084E+02, -7.445463762234E-01, -2.634644686398E-02, -2.943597349467E-02,  6.664008417271E-01,  2.544541936004E-08, -7.934116416674E+00, -3.806586287184E-07,  7.612870424017E-02, -5.311019678138E-10, -1.776201439859E-10,  7.917577618908E-09, -2.013606589876E-12,  2.540548535889E-08, -7.934116416688E+00, -3.800632986102E-07,  7.612870423753E-02,  5.000000000013E+02,  2.700000019635E+02,  2.763401939010E+02,  4.500000000000E+01 
                F16,  3.250000000025E+03,  1.000000000000E-02,  4.513560646590E+02, -1.009030782787E-06,  3.574499360312E+01,  1.864764634594E-10,  8.108073382151E-12, -4.948624220125E-10, -2.383552731918E+05,  1.523183788900E+05, -9.792496444094E+02, -7.445463758860E-01, -2.634644699446E-02, -2.943597338883E-02,  6.664008421036E-01,  2.440152612340E-08, -7.934116417029E+00, -3.650952286300E-07,  7.612870423641E-02, -5.094570088710E-10, -1.754515267399E-10,  7.596062745567E-09, -1.747208493653E-12,  2.436321919900E-08, -7.934116417042E+00, -3.645240736577E-07,  7.612870423413E-02,  5.000000000012E+02,  2.700000019150E+02,  2.763401938477E+02,  4.500000000000E+01 
                F16,  3.252000000025E+03,  1.000000000000E-02,  4.513560646123E+02, -9.681125864724E-07,  3.574499360666E+01,  1.839982914439E-10,  7.995219759274E-12, -4.873000349146E-10, -2.383552731588E+05,  1.513183788900E+05, -9.792496444106E+02, -7.445463755537E-01, -2.634644712330E-02, -2.943597328431E-02,  6.664008424745E-01,  2.340018197720E-08, -7.934116417378E+00, -3.501639174865E-07,  7.612870423316E-02, -4.886866940122E-10, -1.731067342819E-10,  7.287510791361E-09, -1.500533942839E-12,  2.336343739136E-08, -7.934116417391E+00, -3.496159629672E-07,  7.612870423121E-02,  5.000000000010E+02,  2.700000018671E+02,  2.763401937951E+02,  4.500000000000E+01 
                F16,  3.254000000025E+03,  1.000000000000E-02,  4.513560645662E+02, -9.288416607302E-07,  3.574499361015E+01,  1.813980736068E-10,  7.877473780319E-12, -4.794960235623E-10, -2.383552731266E+05,  1.503183788900E+05, -9.792496444118E+02, -7.445463752265E-01, -2.634644725039E-02, -2.943597318120E-02,  6.664008428396E-01,  2.243966493701E-08, -7.934116417723E+00, -3.358392068857E-07,  7.612870423039E-02, -4.687551766931E-10, -1.706837586740E-10,  6.991402967099E-09, -1.271040707763E-12,  2.240441852058E-08, -7.934116417736E+00, -3.353135170924E-07,  7.612870422874E-02,  5.000000000009E+02,  2.700000018198E+02,  2.763401937432E+02,  4.500000000000E+01 
                F16,  3.256000000025E+03,  1.000000000000E-02,  4.513560645207E+02, -8.911522170157E-07,  3.574499361359E+01,  1.786899154395E-10,  7.755457980146E-12, -4.714840922863E-10, -2.383552730952E+05,  1.493183788900E+05, -9.792496444133E+02, -7.445463749046E-01, -2.634644737566E-02, -2.943597307956E-02,  6.664008431987E-01,  2.151832360257E-08, -7.934116418063E+00, -3.220966279315E-07,  7.612870422807E-02, -4.496404456043E-10, -1.681462067446E-10,  6.707241485142E-09, -1.057478438240E-12,  2.148451587966E-08, -7.934116418076E+00, -3.215923046465E-07,  7.612870422670E-02,  5.000000000008E+02,  2.700000017731E+02,  2.763401936920E+02,  4.500000000000E+01 
                F16,  3.258000000025E+03,  1.000000000000E-02,  4.513560644759E+02, -8.549810698564E-07,  3.574499361698E+01,  1.758878251552E-10,  7.629715178958E-12, -4.632955175197E-10, -2.383552730647E+05,  1.483183788900E+05, -9.792496444148E+02, -7.445463745882E-01, -2.634644749903E-02, -2.943597297945E-02,  6.664008435517E-01,  2.063457056906E-08, -7.934116418398E+00, -3.089126917046E-07,  7.612870422615E-02, -4.312900252998E-10, -1.655181057905E-10,  6.434547450067E-09, -8.601334663615E-13,  2.060214124008E-08, -7.934116418411E+00, -3.084288726176E-07,  7.612870422505E-02,  5.000000000006E+02,  2.700000017272E+02,  2.763401936416E+02,  4.500000000000E+01 
                F16,  3.260000000025E+03,  1.000000000000E-02,  4.513560644318E+02, -8.202675367402E-07,  3.574499362031E+01,  1.730045258945E-10,  7.500854732655E-12, -4.549592998919E-10, -2.383552730349E+05,  1.473183788900E+05, -9.792496444164E+02, -7.445463742774E-01, -2.634644762045E-02, -2.943597288093E-02,  6.664008438985E-01,  1.978688121363E-08, -7.934116418728E+00, -2.962648492275E-07,  7.612870422462E-02, -4.136913558954E-10, -1.628184272607E-10,  6.172862711153E-09, -6.767910848639E-13,  1.975577514984E-08, -7.934116418740E+00, -2.958007065574E-07,  7.612870422375E-02,  5.000000000005E+02,  2.700000016820E+02,  2.763401935920E+02,  4.500000000000E+01 
