parameter,independent_variables,2
alpha[deg],beta[deg],Cx_lef,Cy_lef,Cz_lef,Cl_lef,Cm_lef,Cn_lef
20,4,0.242476,0.0256685,-0.0664631,-0.013751,-0.0527121,-0.00435448
20,6,0.241559,0.00893814,-0.0756304,-0.0220016,-0.0623378,-0.00160428
20,8,0.2301,0.00183346,-0.0389611,-0.0417113,-0.0806725,0.0013751
20,10,0.225287,-0.00435448,0.0389611,-0.0543164,-0.0646296,0.00389611
20,15,0.213599,-0.00618794,0.0664631,-0.0731094,-0.0272728,0.00389611
20,20,0.220474,-0.043774,0.0183346,-0.0795265,-0.0224599,0.00962569
20,25,0.228266,-0.15424,0.0206265,-0.097632,0.00366693,0.0517954
20,30,0.221391,-0.187472,0.100841,-0.0831935,0.0577541,0.0579833
25,-30,0.258748,0.0291063,-0.139802,0.035065,0.103132,-0.0426281
25,-25,0.273874,0.111612,-0.0756304,0.0485868,0.08136,-0.0465242
25,-20,0.275478,0.113904,-0.103132,0.0673798,0.0385028,-0.0472117
25,-15,0.267915,0.164324,-0.158136,0.0721927,0.0245226,-0.0669215
25,-10,0.259435,0.107029,-0.142094,0.0382736,0.0288771,-0.0414821
25,-8,0.258289,0.053858,-0.0847978,0.0281895,0.024981,-0.0215432
25,-6,0.25531,0.0311689,-0.0504203,0.0181055,0.0176471,-0.0155845
25,-4,0.245684,0.0158136,-0.0183346,0.0139802,0.00870896,-0.00985487
25,-2,0.240871,0.0130634,-0.0297938,0.00458366,0.00618794,-0.00389611
25,0,0.234225,0,-0.0183346,0,-0.0119175,0
25,2,0.237434,-0.00779223,-0.041253,-0.00550039,-0.00687549,0.00572958
25,4,0.24408,-0.0254393,-0.0389611,-0.00847978,-0.00618794,0.0114592
25,6,0.248205,-0.0236059,-0.0847978,-0.0171887,0.000916732,0.0178763
25,8,0.248893,-0.0556915,-0.107716,-0.0330024,0.00550039,0.0316273
25,10,0.247518,-0.0850269,-0.105424,-0.0327732,0.0114592,0.051337
25,15,0.256227,-0.142781,-0.0985487,-0.0664631,0.0146677,0.0776931
25,20,0.263561,-0.0909857,-0.0618794,-0.0621086,0.0258977,0.0572958
25,25,0.261956,-0.0896106,-0.0320856,-0.0407946,0.0648588,0.056379
25,30,0.24683,-0.00114592,-0.0733386,-0.0284187,0.090069,0.0527121
30,-30,0.194576,0.0721927,-0.0550039,0.0155845,-0.0721927,-0.00802141
30,-25,0.234684,-0.0148969,-0.240642,-0.0291063,-0.0442323,0.01123
30,-20,0.24133,0.00114592,-0.277312,-0.0444615,-0.00297938,-0.00297938
30,-15,0.265165,0.00343775,-0.270436,-0.0210848,0.021314,-0.0194806
30,-10,0.271124,0.0233767,-0.309397,-0.00962569,0.021314,-0.0245226
30,-8,0.286708,0.0586709,-0.373568,0.0128343,0.0859437,-0.0346067
30,-6,0.289,0.0352942,-0.346067,0.0132926,0.0967153,-0.0181055
30,-4,0.286479,0.0185638,-0.30023,0.00893814,0.0946526,-0.0110008
30,-2,0.286937,0.00229183,-0.281895,-0.000916732,0.0987779,-0.00114592
30,0,0.283041,0,-0.286479,0,0.0944234,0
30,2,0.278687,-0.00389611,-0.263561,0.0013751,0.08136,0.000687549
30,4,0.280062,-0.027502,-0.286479,-0.00527121,0.0861729,0.0123759
30,6,0.282124,-0.0417113,-0.316273,-0.0126051,0.0962569,0.023835
30,8,0.283958,-0.0504203,-0.281895,-0.023835,0.0882355,0.0453783
30,10,0.282124,-0.0497327,-0.293354,-0.0222308,0.0870896,0.0589001
30,15,0.278457,-0.0336899,-0.366693,-0.0107716,0.0804433,0.053858
30,20,0.252331,-0.0352942,-0.398779,0.0126051,0.0556915,0.0382736
30,25,0.245684,-0.0203973,-0.240642,-0.00229183,0.016272,0.0236059
30,30,0.205577,-0.102445,-0.041253,-0.0472117,-0.0100841,0.0417113
35,-30,0.180138,0.195952,0.0893814,0.060046,-0.0967153,-0.0540872
35,-25,0.190222,0.15699,0.0664631,0.030023,-0.0481285,-0.0511078
35,-20,0.217036,0.08136,0.0847978,-0.00733386,-0.00664631,-0.0323148
35,-15,0.237892,0.0378152,-0.0229183,-0.0217724,0.0472117,-0.00893814
35,-10,0.257831,0.0185638,-0.0939651,-0.00939651,0.0641713,-0.00870896
35,-8,0.266311,-0.00481285,-0.222308,-0.00916732,0.0859437,-0.0130634
35,-6,0.288542,0.0265852,-0.27502,0.00756304,0.117113,-0.0229183
35,-4,0.300917,0.0357526,-0.254393,0.0167304,0.124905,-0.0236059
35,-2,0.299772,0.0190222,-0.256685,0.0171887,0.128343,-0.0114592
35,0,0.297938,0,-0.281895,0,0.125134,0
35,2,0.301834,0,-0.339191,0.000458366,0.128801,-0.00160428
35,4,0.299542,0.00550039,-0.336899,0.013751,0.138656,-0.00297938
35,6,0.297938,0.000458366,-0.334607,0.0132926,0.131093,0.00756304
35,8,0.297938,0.00870896,-0.330024,0.013751,0.146677,0.0169596
35,10,0.282354,0.0467534,-0.270436,0.0233767,0.137052,0.00756304
