parameter,independent_variables,2
alpha[deg],beta[deg],Cy_aileron_lef,Cl_aileron_lef,Cn_aileron_lef
30,-6,0.0393937,-0.0571208,0.00262625
30,-4,0.0420199,-0.0669692,0.00262625
30,-2,0.0236362,-0.0302018,0.00393937
30,0,0.0190403,-0.0564643,0.0144443
30,2,-0.00131312,-0.0347977,0.026919
30,4,0.0814136,-0.0341412,0.00787874
30,6,0.0485855,-0.0282321,0.00262625
30,8,0.0328281,-0.0347977,0.00787874
30,10,-0.0302018,-0.0426765,0.0183837
30,15,-0.0144443,-0.0892923,0.0420199
30,20,0.0485855,-0.02101,0.0144443
30,25,0.00656561,-0.0288887,0.0321715
30,30,-0.0361109,-0.0630299,0.0282321
35,-30,-0.365048,-0.0932317,0.0610602
35,-25,-0.347977,-0.0991408,0.0242928
35,-20,-0.0236362,-0.047929,0.0571208
35,-15,0.0118181,-0.0387371,0.0249493
35,-10,0.0177272,-0.0118181,-0.00590905
35,-8,-0.0295453,-0.00656561,0.000656561
35,-6,-0.0302018,-0.0361109,0.00525249
35,-4,-0.0229796,-0.0518683,0.0295453
35,-2,-0.00919186,-0.0453027,0.00656561
35,0,-0.0295453,-0.0341412,0.0203534
35,2,0.0256059,-0.00787874,0.010505
35,4,0,-0.0472724,0.00525249
35,6,0.0636864,-0.0124747,-0.0124747
35,8,0.0131312,-0.00262625,0.0151009
35,10,-0.0426765,-0.0190403,0.0446462
35,15,-0.047929,0.00131312,0.0170706
35,20,-0.0151009,0.00722217,-0.0190403
35,25,-0.026919,0.0590905,0.0157575
35,30,-0.0131312,0.0518683,-0.0131312
40,-30,-1.77797,-0.0597471,0.127373
40,-25,-1.32297,-0.0906055,0.106363
40,-20,-1.12338,-0.0308584,0.0131312
40,-15,-0.743227,-0.0604036,-0.00262625
40,-10,-0.016414,-0.0334846,-0.0111615
40,-8,0.0118181,-0.0249493,-0.0118181
40,-6,0.0328281,0.00590905,-0.00590905
40,-4,0.141817,-0.0453027,0.00196968
40,-2,0.0722217,-0.0315149,0.0085353
40,0,0.0695955,-0.0151009,-0.0118181
40,2,0.0991408,-0.0564643,0.0124747
40,4,0.0827267,-0.0170706,0.0124747
40,6,0.0242928,-0.0196968,0.0229796
40,8,0.0262625,0.016414,0
40,10,0.0177272,-0.000656561,0.00196968
40,15,0.118838,0.0262625,-0.00984842
40,20,-0.043333,-0.00459593,-0.0131312
40,25,-0.258685,0.0577774,-0.120807
40,30,0.0925751,0.0229796,-0.0820702
45,-30,9.11E-17,-0.0781308,0.0689389
45,-25,0.30924,-0.0459593,0.0315149
45,-20,0.342068,-0.0682824,0.0656561
45,-15,0.0604036,-0.0328281,-0.00131312
45,-10,0.0505552,-0.0256059,-0.0203534
45,-8,-0.0472724,-0.0354543,-0.0308584
45,-6,-0.0341412,-0.0518683,-0.0321715
45,-4,-0.037424,-0.0899489,-0.0137878
45,-2,-0.0282321,-0.0466159,-0.0302018
45,0,0.144443,-0.00787874,0.0183837
45,2,0.374896,-0.0689389,0.0722217
45,4,0.170049,-0.000656561,0.0288887
45,6,0.0551511,-0.0183837,-0.00984842
45,8,0.0229796,0.0157575,0.016414
45,10,0.162827,-0.026919,0.0236362
45,15,0.1451,-0.0124747,0.00196968
45,20,0.122777,0.0170706,-0.0623733
45,25,0.0413634,-0.00590905,-0.0302018
45,30,0.0728783,0.02101,-0.0630299
