parameter,independent_variables,2
alpha[deg],beta[deg],Cy_aileron,Cl_aileron,Cn_aileron
40,30,-0.0678955,-0.0295073,0.0292208
45,-30,-0.166158,-0.0148969,0.0148969
45,-25,-0.169023,-0.026929,0.0237777
45,-20,-0.105997,-0.0148969,0.00286479
45,-15,-0.151834,-0.026929,0.00916732
45,-10,-0.146964,-0.0292208,0.0266425
45,-8,-0.143526,-0.0320856,0.026929
45,-6,-0.112013,-0.0257831,0.0214859
45,-4,-0.131207,-0.0200535,0.0206265
45,-2,-0.124332,-0.0194806,0.026929
45,0,-0.134645,-0.0315127,0.019767
45,2,-0.106284,-0.00830789,0.0186211
45,4,-0.153839,-0.0272155,0.013751
45,6,-0.0790682,-0.020913,0.0254966
45,8,-0.0684685,-0.0315127,0.0186211
45,10,-0.103419,-0.0200535,0.0214859
45,15,-0.0968299,-0.0252101,0.0378152
45,20,-0.141807,-0.0358099,0.0432583
45,25,-0.0779223,-0.0237777,0.0232048
45,30,-0.0865166,-0.0329451,0.0303668
