parameter,independent_variables,3
elevator[deg],alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
-25,15,15,-0.0354,-0.3143,-0.819,-0.037,0.2358,0.0472
-25,15,20,-0.0343,-0.4223,-0.758,-0.0401,0.2146,0.0599
-25,15,25,-0.0314,-0.4947,-0.67,-0.042,0.1944,0.0698
-25,15,30,-0.0276,-0.5499,-0.616,-0.0433,0.166,0.0704
-25,20,-30,-0.0278,0.475,-0.861,0.0346,0.1133,-0.0352
-25,20,-25,-0.031,0.375,-0.918,0.0228,0.1559,-0.0206
-25,20,-20,-0.0268,0.295,-0.963,0.0252,0.1878,-0.0173
-25,20,-15,-0.0239,0.23,-1.054,0.0181,0.2004,-0.0185
-25,20,-10,-0.0168,0.1576,-1.091,0.0159,0.2243,-0.0167
-25,20,-8,-0.0175,0.1254,-1.091,0.0164,0.2323,-0.0128
-25,20,-6,-0.0151,0.0919,-1.09,0.0109,0.2345,-0.0048
-25,20,-4,-0.0137,0.059,-1.075,0.0072,0.2358,-0.0044
-25,20,-2,-0.0105,0.0282,-1.091,0.0022,0.2333,-0.0013
-25,20,0,-0.0111,0,-1.106,0,0.2333,0
-25,20,2,-0.0086,-0.0313,-1.114,-0.0076,0.2321,-0.001
-25,20,4,-0.0119,-0.067,-1.119,-0.012,0.2348,0.004
-25,20,6,-0.0141,-0.1023,-1.113,-0.0197,0.2381,0.0106
-25,20,8,-0.0137,-0.1374,-1.118,-0.0187,0.2434,0.0155
-25,20,10,-0.0159,-0.171,-1.146,-0.0211,0.2343,0.0193
-25,20,15,-0.023,-0.2452,-1.106,-0.0223,0.211,0.0209
-25,20,20,-0.0259,-0.3089,-1.002,-0.0295,0.1976,0.0199
-25,20,25,-0.0283,-0.3869,-0.952,-0.0268,0.1602,0.0234
-25,20,30,-0.0269,-0.488,-0.917,-0.038,0.1227,0.0374
-25,25,-30,-0.0037,0.4878,-1.109,0.0757,0.075,-0.0302
-25,25,-25,-0.0071,0.3708,-1.202,0.0501,0.1115,-0.0148
-25,25,-20,-0.01,0.2508,-1.25,0.0333,0.1582,0.0043
-25,25,-15,-0.0102,0.1578,-1.286,0.0198,0.1833,0.0164
-25,25,-10,-0.0031,0.1176,-1.344,0.023,0.1917,0.0026
-25,25,-8,-0.0006,0.1174,-1.368,0.0208,0.1919,-0.0021
-25,25,-6,0.0012,0.0893,-1.407,0.0182,0.1951,-0.0004
-25,25,-4,0.0057,0.0585,-1.433,0.0114,0.1953,0.0006
-25,25,-2,0.0072,0.0286,-1.433,0.0068,0.1954,0.0001
-25,25,0,0.0089,0,-1.438,0,0.203,0
-25,25,2,0.0086,-0.0301,-1.434,-0.0065,0.1999,-0.0012
-25,25,4,0.006,-0.0566,-1.432,-0.0137,0.1984,-0.0003
-25,25,6,0.0053,-0.0925,-1.418,-0.0188,0.1954,0.0007
-25,25,8,0.0029,-0.1126,-1.393,-0.0203,0.1924,-0.0006
-25,25,10,-0.0005,-0.1321,-1.369,-0.0268,0.1903,-0.0067
-25,25,15,-0.0077,-0.1714,-1.313,-0.0235,0.1813,-0.0207
-25,25,20,-0.0074,-0.2647,-1.261,-0.0366,0.1574,-0.0088
-25,25,25,-0.0045,-0.385,-1.203,-0.0546,0.1123,0.0101
-25,25,30,-0.0011,-0.5025,-1.135,-0.0673,0.0737,0.0257
-25,30,-30,0.0066,0.3436,-1.291,0.0675,0.1395,-0.0067
-25,30,-25,-0.0014,0.3226,-1.275,0.0556,0.0863,0.0106
-25,30,-20,-0.0078,0.2286,-1.324,0.0295,0.0993,0.03
-25,30,-15,-0.0078,0.1396,-1.397,0.0202,0.1407,0.0341
-25,30,-10,0.0005,0.0825,-1.446,0.0067,0.1611,0.0401
-25,30,-8,0.0082,0.0801,-1.508,0.0096,0.1555,0.0218
-25,30,-6,0.0138,0.0757,-1.546,0.0122,0.1563,0.0119
-25,30,-4,0.0172,0.0549,-1.583,0.0087,0.1596,0.0094
-25,30,-2,0.0191,0.0287,-1.596,0.0095,0.1591,0.0043
-25,30,0,0.02,0,-1.592,0,0.161,0
-25,30,2,0.0215,-0.0289,-1.605,-0.0072,0.1666,-0.0045
-25,30,4,0.0185,-0.0527,-1.584,-0.0101,0.1631,-0.0104
-25,30,6,0.0148,-0.0724,-1.546,-0.0105,0.1552,-0.0173
-25,30,8,0.012,-0.0939,-1.547,-0.009,0.1562,-0.0288
-25,30,10,0.0092,-0.1136,-1.523,-0.0128,0.1521,-0.0372
-25,30,15,-0.0001,-0.1694,-1.42,-0.0261,0.1345,-0.0449
-25,30,20,0.0009,-0.2589,-1.303,-0.0405,0.0943,-0.0385
-25,30,25,0.0073,-0.3511,-1.358,-0.0618,0.0818,-0.0048
