parameter,independent_variables,2
alpha[deg],beta[deg],Cy_rudder,Cl_rudder,Cn_rudder
55,30,0.00229183,0.00343775,-0.00420169
60,-30,-0.0095493,-0.00439268,0.00496563
60,-25,0.0229183,-0.00114592,-0.00993127
60,-20,0.0171887,-0.00190986,-0.00572958
60,-15,0,-0.000763944,-0.0103132
60,-10,0.027693,-0.00381972,-0.00439268
60,-8,0.00305577,-0.00152789,-0.0040107
60,-6,0.0110772,0.000381972,-0.0040107
60,-4,-0.0198625,0.00190986,0.00496563
60,-2,-0.0311307,0.00229183,-0.000572958
60,0,0.0126051,0.00286479,-0.00229183
60,2,0.0013369,0.000190986,-0.00171887
60,4,0.00381972,0.000763944,-0.0013369
60,6,0.0148969,-0.000381972,0.000572958
60,8,0.0620704,0.00343775,-0.00381972
60,10,-0.00763944,0.00248282,-0.00553859
60,15,0.0181437,-0.000572958,-0.0013369
60,20,-0.00286479,-0.000381972,-0.00630254
60,25,-0.00343775,-0.000572958,-0.00305577
60,30,0.000763944,0.00229183,-0.0160428
70,-30,0.0152789,0.00114592,-0.00553859
70,-25,0.00190986,0.00477465,-0.00362873
70,-20,0.0477465,0.00592056,-0.00630254
70,-15,0.0496563,0.00687549,-0.00439268
70,-10,0.0169977,-0.000572958,-0.00362873
70,-8,0.00515662,-0.000190986,-0.00362873
70,-6,0.0162338,0.00286479,-0.00534761
70,-4,-0.0040107,-0.000572958,-0.00190986
70,-2,-0.0189076,-0.0040107,0.00668451
70,0,0.0116501,0.00152789,-0.00286479
70,2,0.00229183,0.00763944,-0.00458366
70,4,0.00840338,0.00095493,-0.00152789
70,6,0.013178,0.00152789,-0.00114592
70,8,0.0202445,0.00248282,-0.00420169
70,10,-0.00248282,0.00458366,-0.00190986
70,15,-0.0336135,-0.00248282,-0.00229183
70,20,-0.0320856,-0.00190986,-0.0013369
70,25,0.0114592,-0.000572958,-0.00324676
70,30,0.00095493,0.00286479,-0.00152789
80,-30,-0.026738,-0.0040107,-0.00783042
80,-25,-0.0286479,-0.000381972,-0.0171887
80,-20,-0.0229183,0.000381972,-0.00744845
80,-15,-0.0229183,-0.000381972,-0.00248282
80,-10,-0.0040107,-0.0013369,-0.00458366
80,-8,-0.000763944,0.00305577,-0.00802141
80,-6,-0.0108862,-0.00534761,-0.0108862
80,-4,0.00859437,0.0122231,-0.0120321
80,-2,0.0154699,0,-0.0108862
80,0,0.0334225,-0.00439268,-0.0116501
80,2,0.0255921,-0.00343775,-0.0103132
80,4,0.0162338,0.000572958,-0.0284569
80,6,0.0162338,0.00152789,-0.0120321
80,8,0.0108862,-0.0040107,-0.00687549
80,10,0,-0.00095493,-0.00744845
80,15,0.013369,-0.0013369,-0.00802141
80,20,0.0118411,-0.00210085,-0.00515662
80,25,0.00725747,-0.00152789,-0.00496563
80,30,0.00572958,0.00171887,-0.00458366
90,-30,-0.0171887,-0.00592056,-0.0353324
90,-25,-0.0190986,0.00152789,-0.00974028
90,-20,-0.0190986,-0.00190986,-0.0095493
90,-15,0,-0.0026738,-0.00859437
90,-10,-0.00897634,-0.0040107,-0.0166158
90,-8,-0.01356,-0.00420169,-0.0168068
90,-6,-0.00802141,-0.00974028,-0.0168068
90,-4,0.00458366,-0.00210085,-0.00706648
90,-2,0.00706648,0.00248282,-0.00496563
90,0,0.00993127,0.00343775,-0.00458366
90,2,0.026547,-0.00381972,-0.00458366
90,4,0.0158518,-0.00763944,-0.00458366
90,6,-0.00668451,0.000572958,-0.00439268
90,8,-0.00095493,0.000381972,-0.00190986
90,10,0.00993127,0.00152789,-0.00171887
90,15,0.00152789,0.00095493,-0.0105042
90,20,0.0215814,0.000190986,-0.00878535
90,25,0.0190986,-0.00381972,-0.00935831
90,30,0.00725747,0.00420169,-0.00343775
